access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,129924.3254,65062.0874,0.0236,131072.0000,2048.0000,0.0049,1.5109,0.0817,1.5133,48,0
read,72945.4562,36507.9870,0.0418,131072.0000,2048.0000,0.0052,2.6927,0.1136,2.6953,48,0
write,129589.4199,64904.1716,0.0236,131072.0000,2048.0000,0.0049,1.5146,0.0882,1.5172,48,1
read,73411.8195,36738.6682,0.0418,131072.0000,2048.0000,0.0049,2.6758,0.0978,2.6782,48,1
write,130381.6552,65296.1829,0.0235,131072.0000,2048.0000,0.0049,1.5055,0.0838,1.5079,48,2
read,73096.0024,36583.1039,0.0417,131072.0000,2048.0000,0.0051,2.6871,0.1199,2.6897,48,2
write,131035.0521,65622.8859,0.0234,131072.0000,2048.0000,0.0046,1.4980,0.0769,1.5004,48,3
read,73519.9496,36791.7004,0.0415,131072.0000,2048.0000,0.0047,2.6719,0.1194,2.6742,48,3
write,130382.7890,65297.7030,0.0235,131072.0000,2048.0000,0.0049,1.5055,0.0857,1.5079,48,4
read,73576.7895,36823.1487,0.0417,131072.0000,2048.0000,0.0050,2.6696,0.1076,2.6721,48,4
write,128751.0474,64483.5824,0.0237,131072.0000,2048.0000,0.0050,1.5245,0.1088,1.5270,48,5
read,73557.4679,36811.2511,0.0417,131072.0000,2048.0000,0.0045,2.6705,0.1175,2.6728,48,5
write,128902.4933,64559.2971,0.0237,131072.0000,2048.0000,0.0048,1.5227,0.1053,1.5252,48,6
read,73634.4933,36850.7838,0.0416,131072.0000,2048.0000,0.0047,2.6676,0.1132,2.6701,48,6
write,129839.4913,65029.2100,0.0236,131072.0000,2048.0000,0.0047,1.5117,0.0920,1.5142,48,7
read,73819.9492,36941.2118,0.0413,131072.0000,2048.0000,0.0046,2.6611,0.0999,2.6633,48,7
write,129323.5352,64753.9451,0.0235,131072.0000,2048.0000,0.0042,1.5181,0.1034,1.5203,48,8
read,73697.8395,36881.6173,0.0415,131072.0000,2048.0000,0.0044,2.6654,0.1156,2.6678,48,8
write,129273.9666,64746.8679,0.0237,131072.0000,2048.0000,0.0050,1.5183,0.0975,1.5209,48,9
read,73587.4523,36823.0369,0.0417,131072.0000,2048.0000,0.0045,2.6696,0.1174,2.6718,48,9
