access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,36344.3039,18183.0115,0.0235,131072.0000,2048.0000,3.3654,5.4064,3.9029,5.4096,48,0
read,73509.0901,36780.1775,0.0375,131072.0000,2048.0000,0.0028,2.6727,0.2817,2.6746,48,0
write,140465.4932,70333.3457,0.0216,131072.0000,2048.0000,0.0059,1.3977,0.0163,1.3997,48,1
read,81592.3735,40831.1609,0.0373,131072.0000,2048.0000,0.0028,2.4076,0.0333,2.4096,48,1
write,140339.6572,70263.5175,0.0218,131072.0000,2048.0000,0.0058,1.3991,0.0217,1.4009,48,2
read,82163.8520,41117.7037,0.0372,131072.0000,2048.0000,0.0029,2.3908,0.0263,2.3929,48,2
write,140912.6860,70554.5899,0.0217,131072.0000,2048.0000,0.0059,1.3933,0.0162,1.3952,48,3
read,82488.5888,41280.2316,0.0371,131072.0000,2048.0000,0.0027,2.3814,0.0254,2.3835,48,3
write,140476.4285,70337.7131,0.0215,131072.0000,2048.0000,0.0059,1.3976,0.0233,1.3996,48,4
read,82588.6922,41331.1205,0.0369,131072.0000,2048.0000,0.0029,2.3784,0.0268,2.3806,48,4
