access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1014.0264,507.0535,2.9834,131072.0000,2048.0000,0.2020,193.8730,7.1673,193.8885,48,0
read,3348.6042,1675.7974,0.8852,131072.0000,2048.0000,0.3723,58.6610,2.0048,58.7134,48,0
write,722.8168,361.4310,4.1212,131072.0000,2048.0000,0.4236,271.9855,8.2300,272.0025,48,1
read,3317.3785,1660.7340,0.9159,131072.0000,2048.0000,0.4564,59.1931,3.2963,59.2661,48,1
write,804.8748,402.4629,3.7585,131072.0000,2048.0000,1.2372,244.2561,20.4106,244.2715,48,2
read,3330.6942,1666.5219,0.9186,131072.0000,2048.0000,0.2047,58.9875,0.6141,59.0291,48,2
write,802.8868,401.4731,3.7093,131072.0000,2048.0000,0.5731,244.8583,7.4601,244.8764,48,3
read,3291.0613,1650.7596,0.9216,131072.0000,2048.0000,0.4324,59.5508,1.5926,59.7400,48,3
write,537.1915,268.6298,5.6391,131072.0000,2048.0000,1.3617,365.9460,6.4391,365.9924,48,4
read,3221.0415,1614.9628,0.8772,131072.0000,2048.0000,0.3054,60.8708,8.1471,61.0386,48,4
