access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,15960.1280,7982.4046,0.0683,131072.0000,2048.0000,3.2423,12.3151,7.9433,12.3187,48,0
read,16764.3641,8383.5143,0.0865,131072.0000,2048.0000,0.0037,11.7259,8.9641,11.7277,48,0
write,17083.1225,8542.9627,0.0527,131072.0000,2048.0000,0.0083,11.5070,9.7568,11.5089,48,1
read,13740.9951,6871.4504,0.0640,131072.0000,2048.0000,0.0031,14.3061,11.6316,14.3081,48,1
write,17667.4632,8835.2607,0.0943,131072.0000,2048.0000,0.0077,11.1263,9.2775,11.1283,48,2
read,15224.7390,7613.5232,0.1206,131072.0000,2048.0000,0.0034,12.9118,10.2927,12.9137,48,2
write,24378.7846,12192.1619,0.0574,131072.0000,2048.0000,0.0076,8.0629,6.2403,8.0647,48,3
read,18714.8380,9359.1598,0.0645,131072.0000,2048.0000,0.0031,10.5035,7.9393,10.5055,48,3
write,23351.6083,11678.5424,0.1315,131072.0000,2048.0000,0.0080,8.4175,6.7755,8.4195,48,4
read,22790.2789,11397.8337,0.1348,131072.0000,2048.0000,0.0032,8.6248,6.0524,8.6268,48,4
