access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,34433.3698,17226.8893,0.0250,131072.0000,2048.0000,3.3589,5.7064,4.1052,5.7098,48,0
read,78078.0704,39067.8284,0.0291,131072.0000,2048.0000,0.0028,2.5162,0.6530,2.5181,48,0
write,129904.7589,65035.9182,0.0227,131072.0000,2048.0000,0.0059,1.5115,0.1016,1.5135,48,1
read,83211.0567,41641.4462,0.0365,131072.0000,2048.0000,0.0028,2.3607,0.0355,2.3628,48,1
write,134053.0635,67116.3141,0.0223,131072.0000,2048.0000,0.0059,1.4647,0.0623,1.4666,48,2
read,83476.7717,41775.0499,0.0365,131072.0000,2048.0000,0.0028,2.3532,0.0358,2.3552,48,2
write,137018.8081,68602.0072,0.0219,131072.0000,2048.0000,0.0060,1.4330,0.0441,1.4349,48,3
read,83742.5224,41908.2273,0.0362,131072.0000,2048.0000,0.0028,2.3457,0.0366,2.3478,48,3
write,138087.3888,69137.4588,0.0218,131072.0000,2048.0000,0.0060,1.4219,0.0376,1.4238,48,4
read,84049.5039,42062.3673,0.0361,131072.0000,2048.0000,0.0027,2.3371,0.0314,2.3392,48,4
