access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,139575.6945,69892.8851,0.0218,131072.0000,2048.0000,0.0041,1.4065,0.0180,1.4086,48,0
read,81177.9277,40624.4921,0.0374,131072.0000,2048.0000,0.0045,2.4198,0.0279,2.4219,48,0
write,140559.8746,70383.6032,0.0217,131072.0000,2048.0000,0.0039,1.3967,0.0135,1.3987,48,1
read,81677.1802,40871.0197,0.0373,131072.0000,2048.0000,0.0039,2.4052,0.0291,2.4071,48,1
write,140675.3541,70435.6532,0.0217,131072.0000,2048.0000,0.0039,1.3957,0.0227,1.3976,48,2
read,82104.1827,41087.3708,0.0371,131072.0000,2048.0000,0.0041,2.3926,0.0276,2.3946,48,2
write,141414.2737,70812.1164,0.0216,131072.0000,2048.0000,0.0040,1.3882,0.0152,1.3903,48,3
read,82600.8033,41336.8014,0.0369,131072.0000,2048.0000,0.0042,2.3781,0.0178,2.3802,48,3
write,141865.5121,71040.4512,0.0215,131072.0000,2048.0000,0.0041,1.3838,0.0161,1.3859,48,4
read,82568.8538,41319.3078,0.0370,131072.0000,2048.0000,0.0039,2.3791,0.0243,2.3811,48,4
