access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1634176.6375,102692.5264,0.0739,131072.0000,16384.0000,0.0066,0.6382,0.0502,0.6417,256,0
read,1465863.5425,92029.1795,0.0844,131072.0000,16384.0000,0.0063,0.7121,0.0509,0.7153,256,0
write,1627054.2864,102219.0292,0.0749,131072.0000,16384.0000,0.0064,0.6411,0.0532,0.6445,256,1
read,1460064.2817,91665.9353,0.0843,131072.0000,16384.0000,0.0064,0.7149,0.0526,0.7182,256,1
write,1630207.8664,102423.3726,0.0742,131072.0000,16384.0000,0.0065,0.6399,0.0511,0.6432,256,2
read,1449775.6007,91023.9969,0.0843,131072.0000,16384.0000,0.0066,0.7200,0.0559,0.7233,256,2
write,1632103.8298,102551.6127,0.0729,131072.0000,16384.0000,0.0066,0.6391,0.0563,0.6425,256,3
read,1452323.4820,91190.5342,0.0835,131072.0000,16384.0000,0.0066,0.7187,0.0509,0.7220,256,3
write,1608568.4481,101096.8202,0.0754,131072.0000,16384.0000,0.0070,0.6482,0.0609,0.6519,256,4
read,1458255.1558,91591.8663,0.0861,131072.0000,16384.0000,0.0069,0.7155,0.0465,0.7191,256,4
write,1627877.5378,102270.4096,0.0736,131072.0000,16384.0000,0.0065,0.6408,0.0594,0.6441,256,5
read,1463318.6075,91877.4375,0.0846,131072.0000,16384.0000,0.0064,0.7133,0.0446,0.7166,256,5
write,1605691.3860,100896.3602,0.0745,131072.0000,16384.0000,0.0068,0.6495,0.0560,0.6530,256,6
read,1442813.1446,90603.0604,0.0838,131072.0000,16384.0000,0.0067,0.7233,0.0557,0.7268,256,6
write,1558569.6009,97951.3400,0.0781,131072.0000,16384.0000,0.0072,0.6691,0.0590,0.6728,256,7
read,1452675.5838,91252.1091,0.0855,131072.0000,16384.0000,0.0071,0.7182,0.0455,0.7218,256,7
write,1597095.5215,100331.9019,0.0777,131072.0000,16384.0000,0.0065,0.6532,0.0557,0.6566,256,8
read,1470981.5374,92363.0259,0.0838,131072.0000,16384.0000,0.0064,0.7095,0.0539,0.7128,256,8
write,1634421.3794,102681.7085,0.0748,131072.0000,16384.0000,0.0064,0.6382,0.0535,0.6416,256,9
read,1464964.1478,91974.3987,0.0839,131072.0000,16384.0000,0.0063,0.7125,0.0441,0.7158,256,9
