access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,197805.5470,99175.1840,0.0203,131072.0000,2048.0000,0.0068,1.3216,0.0562,1.3253,64,0
read,114380.6091,57272.5903,0.0355,131072.0000,2048.0000,0.0065,2.2886,0.0300,2.2919,64,0
write,204823.5440,102677.8730,0.0197,131072.0000,2048.0000,0.0063,1.2765,0.0420,1.2799,64,1
read,114754.2836,57456.0450,0.0354,131072.0000,2048.0000,0.0063,2.2813,0.0301,2.2844,64,1
write,210975.8123,105769.5834,0.0192,131072.0000,2048.0000,0.0065,1.2392,0.0253,1.2425,64,2
read,115157.9850,57661.5607,0.0352,131072.0000,2048.0000,0.0065,2.2731,0.0282,2.2764,64,2
write,207565.5038,104062.3966,0.0195,131072.0000,2048.0000,0.0066,1.2596,0.0224,1.2629,64,3
read,115832.0974,58001.6921,0.0350,131072.0000,2048.0000,0.0067,2.2598,0.0294,2.2631,64,3
write,213367.1873,106971.7014,0.0190,131072.0000,2048.0000,0.0065,1.2253,0.0175,1.2286,64,4
read,116148.6945,58157.9372,0.0350,131072.0000,2048.0000,0.0064,2.2537,0.0222,2.2570,64,4
write,213928.3757,107251.2833,0.0189,131072.0000,2048.0000,0.0064,1.2221,0.0176,1.2254,64,5
read,115781.1367,57973.0122,0.0350,131072.0000,2048.0000,0.0064,2.2609,0.0205,2.2641,64,5
write,214421.8322,107502.5135,0.0189,131072.0000,2048.0000,0.0065,1.2192,0.0175,1.2226,64,6
read,116253.9768,58211.3772,0.0349,131072.0000,2048.0000,0.0064,2.2517,0.0242,2.2549,64,6
write,214748.9101,107658.6156,0.0189,131072.0000,2048.0000,0.0063,1.2175,0.0147,1.2207,64,7
read,116308.9717,58235.7960,0.0350,131072.0000,2048.0000,0.0062,2.2507,0.0235,2.2539,64,7
write,214555.3907,107566.7311,0.0188,131072.0000,2048.0000,0.0064,1.2185,0.0218,1.2218,64,8
read,115570.0151,57867.3336,0.0351,131072.0000,2048.0000,0.0064,2.2650,0.0207,2.2683,64,8
write,214575.2797,107583.6974,0.0188,131072.0000,2048.0000,0.0065,1.2183,0.0197,1.2217,64,9
read,116270.1673,58221.4937,0.0349,131072.0000,2048.0000,0.0065,2.2513,0.0186,2.2546,64,9
