access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,189103.7861,94813.4551,0.0214,131072.0000,2048.0000,0.0074,1.3824,0.0504,1.3862,64,0
read,97505.2772,48814.0434,0.0419,131072.0000,2048.0000,0.0067,2.6851,0.0243,2.6885,64,0
write,192819.7166,96635.2505,0.0211,131072.0000,2048.0000,0.0061,1.3564,0.0249,1.3595,64,1
read,97480.8733,48796.8336,0.0418,131072.0000,2048.0000,0.0062,2.6861,0.0264,2.6892,64,1
write,189413.9853,94933.0733,0.0214,131072.0000,2048.0000,0.0064,1.3807,0.0276,1.3840,64,2
read,96856.0504,48486.0700,0.0419,131072.0000,2048.0000,0.0064,2.7033,0.0366,2.7065,64,2
write,194464.8114,97475.2128,0.0208,131072.0000,2048.0000,0.0065,1.3447,0.0210,1.3480,64,3
read,97474.6770,48796.4525,0.0417,131072.0000,2048.0000,0.0065,2.6861,0.0266,2.6894,64,3
write,194926.9582,97717.7940,0.0208,131072.0000,2048.0000,0.0068,1.3413,0.0187,1.3448,64,4
read,97040.1974,48582.1767,0.0419,131072.0000,2048.0000,0.0068,2.6979,0.0259,2.7014,64,4
write,195137.3299,97816.0803,0.0207,131072.0000,2048.0000,0.0066,1.3400,0.0199,1.3434,64,5
read,97341.0399,48730.4869,0.0416,131072.0000,2048.0000,0.0065,2.6897,0.0284,2.6930,64,5
write,196086.1350,98278.7526,0.0207,131072.0000,2048.0000,0.0062,1.3337,0.0124,1.3369,64,6
read,97361.5371,48737.7144,0.0419,131072.0000,2048.0000,0.0062,2.6893,0.0277,2.6925,64,6
write,192263.9249,96365.9026,0.0210,131072.0000,2048.0000,0.0064,1.3601,0.0246,1.3635,64,7
read,97344.7715,48731.2860,0.0417,131072.0000,2048.0000,0.0064,2.6897,0.0256,2.6929,64,7
write,195696.8903,98094.7977,0.0207,131072.0000,2048.0000,0.0065,1.3362,0.0208,1.3395,64,8
read,97445.2879,48781.3413,0.0418,131072.0000,2048.0000,0.0064,2.6869,0.0265,2.6902,64,8
write,195662.4135,98077.3150,0.0207,131072.0000,2048.0000,0.0065,1.3364,0.0206,1.3398,64,9
read,96948.7460,48532.7133,0.0419,131072.0000,2048.0000,0.0064,2.7007,0.0265,2.7039,64,9
