access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,137759.6580,68996.6901,0.0331,131072.0000,2048.0000,0.0073,2.1371,0.0210,2.1408,48,0
read,71810.2872,35937.2144,0.0639,131072.0000,2048.0000,0.0076,4.1032,0.0419,4.1068,48,0
write,135651.7864,67946.8157,0.0337,131072.0000,2048.0000,0.0074,2.1702,0.0189,2.1740,48,1
read,71782.7914,35922.6115,0.0638,131072.0000,2048.0000,0.0072,4.1048,0.0372,4.1084,48,1
write,137896.6016,69056.6959,0.0332,131072.0000,2048.0000,0.0066,2.1353,0.0237,2.1386,48,2
read,71946.7439,36005.6171,0.0635,131072.0000,2048.0000,0.0072,4.0954,0.0386,4.0990,48,2
write,136905.3269,68561.7998,0.0333,131072.0000,2048.0000,0.0066,2.1507,0.0206,2.1541,48,3
read,71796.7034,35928.6966,0.0638,131072.0000,2048.0000,0.0068,4.1041,0.0391,4.1076,48,3
write,138434.1101,69329.6236,0.0330,131072.0000,2048.0000,0.0067,2.1269,0.0154,2.1303,48,4
read,71883.5218,35972.4492,0.0639,131072.0000,2048.0000,0.0069,4.0991,0.0254,4.1026,48,4
write,138071.5513,69145.9382,0.0332,131072.0000,2048.0000,0.0066,2.1325,0.0246,2.1359,48,5
read,71938.2122,35998.6719,0.0637,131072.0000,2048.0000,0.0066,4.0962,0.0283,4.0995,48,5
write,136539.8386,68380.9833,0.0336,131072.0000,2048.0000,0.0068,2.1564,0.0290,2.1599,48,6
read,72001.7945,36031.8273,0.0638,131072.0000,2048.0000,0.0069,4.0924,0.0259,4.0959,48,6
write,138266.3238,69247.9075,0.0330,131072.0000,2048.0000,0.0068,2.1294,0.0242,2.1329,48,7
read,71810.1997,35934.9280,0.0637,131072.0000,2048.0000,0.0067,4.1034,0.0337,4.1068,48,7
write,138088.9998,69161.9286,0.0331,131072.0000,2048.0000,0.0070,2.1320,0.0223,2.1357,48,8
read,71986.1523,36024.8384,0.0638,131072.0000,2048.0000,0.0071,4.0932,0.0278,4.0968,48,8
write,138472.0628,69339.7361,0.0331,131072.0000,2048.0000,0.0062,2.1266,0.0131,2.1298,48,9
read,71929.5277,35994.1026,0.0638,131072.0000,2048.0000,0.0066,4.0967,0.0233,4.1000,48,9
