access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,87636.5209,5699.4027,0.0107,131072.0000,16384.0000,0.0070,0.0898,0.0047,0.0935,8,0
read,66603.2258,4279.5779,0.0143,131072.0000,16384.0000,0.0067,0.1196,0.0056,0.1230,8,0
write,89638.8548,5821.8057,0.0106,131072.0000,16384.0000,0.0067,0.0879,0.0034,0.0914,8,1
read,66325.0112,4257.3747,0.0145,131072.0000,16384.0000,0.0066,0.1203,0.0044,0.1235,8,1
write,88570.8646,5740.4154,0.0104,131072.0000,16384.0000,0.0065,0.0892,0.0060,0.0925,8,2
read,66022.4593,4236.7292,0.0146,131072.0000,16384.0000,0.0064,0.1208,0.0039,0.1241,8,2
write,90483.2262,5864.3653,0.0103,131072.0000,16384.0000,0.0063,0.0873,0.0051,0.0905,8,3
read,66028.8030,4234.5571,0.0146,131072.0000,16384.0000,0.0064,0.1209,0.0040,0.1241,8,3
write,89311.2593,5783.5486,0.0105,131072.0000,16384.0000,0.0063,0.0885,0.0045,0.0917,8,4
read,65899.2523,4225.0844,0.0146,131072.0000,16384.0000,0.0062,0.1212,0.0045,0.1243,8,4
write,90008.2212,5830.1035,0.0105,131072.0000,16384.0000,0.0063,0.0878,0.0036,0.0910,8,5
read,65592.1731,4230.1446,0.0146,131072.0000,16384.0000,0.0070,0.1210,0.0044,0.1249,8,5
write,89718.4354,5816.5232,0.0103,131072.0000,16384.0000,0.0065,0.0880,0.0054,0.0913,8,6
read,65800.8158,4226.0572,0.0147,131072.0000,16384.0000,0.0065,0.1212,0.0040,0.1245,8,6
write,88842.7047,5769.1455,0.0105,131072.0000,16384.0000,0.0068,0.0887,0.0049,0.0922,8,7
read,65811.9067,4228.0541,0.0145,131072.0000,16384.0000,0.0067,0.1211,0.0050,0.1245,8,7
write,89708.5972,5810.8415,0.0106,131072.0000,16384.0000,0.0063,0.0881,0.0037,0.0913,8,8
read,66137.0880,4240.7619,0.0146,131072.0000,16384.0000,0.0062,0.1207,0.0041,0.1239,8,8
write,89655.4615,5815.7514,0.0105,131072.0000,16384.0000,0.0066,0.0880,0.0041,0.0914,8,9
read,66064.9856,4240.7954,0.0146,131072.0000,16384.0000,0.0065,0.1207,0.0038,0.1240,8,9
