access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,161709.0573,10150.9892,0.0994,131072.0000,16384.0000,0.0069,0.8070,0.0267,0.8105,32,0
read,139366.2493,8740.7630,0.1155,131072.0000,16384.0000,0.0067,0.9372,0.0367,0.9405,32,0
write,162559.2315,10200.3597,0.0994,131072.0000,16384.0000,0.0063,0.8031,0.0211,0.8063,32,1
read,141327.5819,8862.8071,0.1132,131072.0000,16384.0000,0.0063,0.9243,0.0301,0.9274,32,1
write,161729.8465,10150.9623,0.0990,131072.0000,16384.0000,0.0068,0.8070,0.0340,0.8104,32,2
read,141154.5288,8854.1787,0.1124,131072.0000,16384.0000,0.0067,0.9252,0.0343,0.9286,32,2
write,161748.5946,10152.2460,0.0979,131072.0000,16384.0000,0.0067,0.8069,0.0239,0.8103,32,3
read,141211.3802,8856.7349,0.1109,131072.0000,16384.0000,0.0066,0.9249,0.0380,0.9282,32,3
write,162529.8194,10200.7413,0.0977,131072.0000,16384.0000,0.0066,0.8031,0.0256,0.8064,32,4
read,142588.4276,8942.8997,0.1137,131072.0000,16384.0000,0.0064,0.9160,0.0312,0.9192,32,4
write,160441.8646,10069.9091,0.0991,131072.0000,16384.0000,0.0067,0.8135,0.0342,0.8169,32,5
read,139507.7842,8749.7911,0.1145,131072.0000,16384.0000,0.0065,0.9363,0.0275,0.9395,32,5
write,162118.3039,10173.9710,0.0980,131072.0000,16384.0000,0.0066,0.8052,0.0325,0.8085,32,6
read,141565.2259,8878.9741,0.1120,131072.0000,16384.0000,0.0065,0.9226,0.0293,0.9259,32,6
write,162276.2696,10181.9605,0.0989,131072.0000,16384.0000,0.0063,0.8046,0.0250,0.8077,32,7
read,139667.1331,8758.0408,0.1145,131072.0000,16384.0000,0.0061,0.9354,0.0594,0.9385,32,7
write,162525.7352,10198.2253,0.0982,131072.0000,16384.0000,0.0063,0.8033,0.0256,0.8065,32,8
read,142308.9802,8923.9885,0.1105,131072.0000,16384.0000,0.0061,0.9180,0.0343,0.9210,32,8
write,161692.9340,10144.4258,0.0984,131072.0000,16384.0000,0.0061,0.8075,0.0231,0.8106,32,9
read,140805.0027,8829.0881,0.1100,131072.0000,16384.0000,0.0060,0.9278,0.0480,0.9309,32,9
