access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,47983.3179,24115.1094,0.0105,131072.0000,2048.0000,0.0067,0.6794,0.0092,0.6829,16,0
read,23564.6772,11809.8281,0.0214,131072.0000,2048.0000,0.0065,1.3873,0.0172,1.3906,16,0
write,48804.7481,24532.4192,0.0103,131072.0000,2048.0000,0.0069,0.6679,0.0065,0.6714,16,1
read,23577.6295,11817.9988,0.0215,131072.0000,2048.0000,0.0069,1.3864,0.0201,1.3898,16,1
write,48842.5755,24545.5719,0.0103,131072.0000,2048.0000,0.0066,0.6675,0.0092,0.6709,16,2
read,23488.7951,11772.3232,0.0217,131072.0000,2048.0000,0.0066,1.3917,0.0103,1.3950,16,2
write,48949.8369,24603.1941,0.0103,131072.0000,2048.0000,0.0068,0.6659,0.0080,0.6694,16,3
read,23567.0653,11812.5037,0.0215,131072.0000,2048.0000,0.0067,1.3870,0.0179,1.3904,16,3
write,49008.1177,24631.4844,0.0103,131072.0000,2048.0000,0.0068,0.6652,0.0103,0.6686,16,4
read,23617.7851,11838.1334,0.0214,131072.0000,2048.0000,0.0068,1.3840,0.0167,1.3874,16,4
write,48853.7910,24547.5622,0.0103,131072.0000,2048.0000,0.0065,0.6674,0.0092,0.6707,16,5
read,23622.4331,11839.8610,0.0214,131072.0000,2048.0000,0.0066,1.3838,0.0155,1.3872,16,5
write,49016.1752,24629.1891,0.0102,131072.0000,2048.0000,0.0064,0.6652,0.0093,0.6685,16,6
read,23530.7433,11792.6241,0.0215,131072.0000,2048.0000,0.0064,1.3893,0.0219,1.3926,16,6
write,49076.8047,24659.6539,0.0103,131072.0000,2048.0000,0.0064,0.6644,0.0082,0.6677,16,7
read,23446.7643,11750.4302,0.0217,131072.0000,2048.0000,0.0064,1.3943,0.0142,1.3975,16,7
write,49043.6884,24646.8207,0.0103,131072.0000,2048.0000,0.0067,0.6648,0.0062,0.6681,16,8
read,23558.3195,11807.5656,0.0214,131072.0000,2048.0000,0.0066,1.3876,0.0198,1.3909,16,8
write,48986.8594,24616.0084,0.0102,131072.0000,2048.0000,0.0065,0.6656,0.0126,0.6689,16,9
read,23563.2349,11809.4040,0.0214,131072.0000,2048.0000,0.0065,1.3874,0.0168,1.3906,16,9
