access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,792458.2326,398428.4899,0.0099,131072.0000,2048.0000,0.0069,0.6579,0.0282,0.6616,256,0
read,465650.9814,233517.5177,0.0173,131072.0000,2048.0000,0.0066,1.1226,0.0161,1.1259,256,0
write,799843.7632,402094.7572,0.0099,131072.0000,2048.0000,0.0069,0.6519,0.0257,0.6555,256,1
read,460755.3827,231068.7215,0.0175,131072.0000,2048.0000,0.0068,1.1345,0.0169,1.1379,256,1
write,799723.0477,402015.2204,0.0099,131072.0000,2048.0000,0.0068,0.6521,0.0297,0.6556,256,2
read,466274.1980,233852.7158,0.0173,131072.0000,2048.0000,0.0068,1.1210,0.0148,1.1244,256,2
write,804706.2764,404438.3012,0.0099,131072.0000,2048.0000,0.0066,0.6482,0.0241,0.6515,256,3
read,466186.2227,233778.6799,0.0173,131072.0000,2048.0000,0.0065,1.1213,0.0145,1.1246,256,3
write,806197.5942,405268.6310,0.0100,131072.0000,2048.0000,0.0068,0.6468,0.0195,0.6503,256,4
read,464048.4934,232733.4809,0.0175,131072.0000,2048.0000,0.0069,1.1264,0.0193,1.1298,256,4
write,807753.7870,405971.6254,0.0099,131072.0000,2048.0000,0.0066,0.6457,0.0193,0.6491,256,5
read,465245.1885,233322.3753,0.0173,131072.0000,2048.0000,0.0067,1.1235,0.0167,1.1269,256,5
write,807354.6164,405757.9855,0.0099,131072.0000,2048.0000,0.0065,0.6461,0.0244,0.6494,256,6
read,465635.2054,233493.0203,0.0173,131072.0000,2048.0000,0.0064,1.1227,0.0162,1.1260,256,6
write,806100.9560,405106.4716,0.0098,131072.0000,2048.0000,0.0073,0.6471,0.0227,0.6504,256,7
read,459138.5148,230215.4240,0.0175,131072.0000,2048.0000,0.0063,1.1387,0.0196,1.1419,256,7
write,811389.0123,407940.7273,0.0098,131072.0000,2048.0000,0.0070,0.6426,0.0182,0.6462,256,8
read,465108.9009,233276.8824,0.0174,131072.0000,2048.0000,0.0069,1.1237,0.0194,1.1272,256,8
write,811577.6680,407958.5878,0.0098,131072.0000,2048.0000,0.0067,0.6426,0.0174,0.6460,256,9
read,464602.0417,233001.1369,0.0174,131072.0000,2048.0000,0.0067,1.1251,0.0173,1.1285,256,9
