access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,22412.9589,11313.9786,0.0056,131072.0000,2048.0000,0.0067,0.3620,0.0066,0.3655,8,0
read,11075.4335,5561.9900,0.0114,131072.0000,2048.0000,0.0064,0.7364,0.0093,0.7397,8,0
write,23170.5594,11690.8032,0.0054,131072.0000,2048.0000,0.0062,0.3504,0.0040,0.3536,8,1
read,11119.9191,5583.1419,0.0113,131072.0000,2048.0000,0.0062,0.7336,0.0134,0.7367,8,1
write,23304.6285,11759.3659,0.0054,131072.0000,2048.0000,0.0063,0.3483,0.0058,0.3515,8,2
read,10929.1219,5487.6961,0.0115,131072.0000,2048.0000,0.0063,0.7464,0.0166,0.7496,8,2
write,23360.1304,11790.6473,0.0053,131072.0000,2048.0000,0.0064,0.3474,0.0052,0.3507,8,3
read,11098.3469,5573.1605,0.0114,131072.0000,2048.0000,0.0064,0.7350,0.0099,0.7381,8,3
write,23413.2805,11817.8261,0.0053,131072.0000,2048.0000,0.0065,0.3466,0.0048,0.3499,8,4
read,11131.4038,5590.2217,0.0114,131072.0000,2048.0000,0.0064,0.7327,0.0134,0.7359,8,4
write,23321.0947,11769.4763,0.0053,131072.0000,2048.0000,0.0063,0.3480,0.0070,0.3513,8,5
read,11136.2888,5592.3889,0.0112,131072.0000,2048.0000,0.0064,0.7324,0.0130,0.7356,8,5
write,23312.9299,11768.1541,0.0053,131072.0000,2048.0000,0.0066,0.3481,0.0074,0.3514,8,6
read,11119.7680,5584.6809,0.0113,131072.0000,2048.0000,0.0065,0.7334,0.0103,0.7367,8,6
write,23414.7484,11816.1516,0.0053,131072.0000,2048.0000,0.0063,0.3466,0.0046,0.3499,8,7
read,11144.4230,5596.0942,0.0113,131072.0000,2048.0000,0.0062,0.7319,0.0066,0.7351,8,7
write,23474.4006,11845.0977,0.0053,131072.0000,2048.0000,0.0062,0.3458,0.0054,0.3490,8,8
read,11112.1512,5579.6278,0.0113,131072.0000,2048.0000,0.0062,0.7341,0.0112,0.7372,8,8
write,23441.4736,11834.2213,0.0053,131072.0000,2048.0000,0.0066,0.3461,0.0048,0.3495,8,9
read,11119.4837,5584.7336,0.0112,131072.0000,2048.0000,0.0065,0.7334,0.0150,0.7367,8,9
