access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,2155935.8006,135725.4871,0.0589,131072.0000,16384.0000,0.0067,0.4829,0.0262,0.4864,256,0
read,1838817.3290,115591.9578,0.0686,131072.0000,16384.0000,0.0065,0.5670,0.0304,0.5702,256,0
write,2169774.6927,136584.5488,0.0585,131072.0000,16384.0000,0.0067,0.4798,0.0259,0.4833,256,1
read,1839661.8668,115661.2670,0.0684,131072.0000,16384.0000,0.0067,0.5666,0.0278,0.5700,256,1
write,2163055.9610,136162.5656,0.0585,131072.0000,16384.0000,0.0068,0.4813,0.0259,0.4848,256,2
read,1835629.2415,115413.1598,0.0698,131072.0000,16384.0000,0.0068,0.5678,0.0282,0.5712,256,2
write,2156782.6670,135695.1353,0.0581,131072.0000,16384.0000,0.0062,0.4830,0.0250,0.4862,256,3
read,1842878.6613,115813.7961,0.0687,131072.0000,16384.0000,0.0062,0.5659,0.0276,0.5690,256,3
write,2172620.4851,136717.0873,0.0586,131072.0000,16384.0000,0.0064,0.4794,0.0203,0.4826,256,4
read,1831430.4416,115110.3150,0.0687,131072.0000,16384.0000,0.0063,0.5693,0.0286,0.5725,256,4
write,2171662.4800,136681.9405,0.0580,131072.0000,16384.0000,0.0066,0.4795,0.0258,0.4828,256,5
read,1845570.6400,116021.6964,0.0681,131072.0000,16384.0000,0.0065,0.5649,0.0252,0.5682,256,5
write,2121776.7889,133457.4506,0.0594,131072.0000,16384.0000,0.0061,0.4911,0.0293,0.4942,256,6
read,1890024.1520,118785.9382,0.0664,131072.0000,16384.0000,0.0061,0.5517,0.0314,0.5548,256,6
write,2146210.3835,135038.3763,0.0590,131072.0000,16384.0000,0.0063,0.4853,0.0299,0.4886,256,7
read,1849018.0133,116218.1572,0.0674,131072.0000,16384.0000,0.0063,0.5639,0.0309,0.5671,256,7
write,2166497.6267,136307.3300,0.0591,131072.0000,16384.0000,0.0062,0.4808,0.0286,0.4840,256,8
read,1817938.0019,114243.6628,0.0686,131072.0000,16384.0000,0.0062,0.5737,0.0328,0.5768,256,8
write,2171554.1809,136716.2033,0.0587,131072.0000,16384.0000,0.0083,0.4794,0.0243,0.4829,256,9
read,1843407.0022,115909.6123,0.0679,131072.0000,16384.0000,0.0067,0.5654,0.0266,0.5688,256,9
